herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
High Tech Graduate School of Ed.,456,51.25,5577
Hope C.,457,51.14,5522
Southeastern Louisiana U.,458,51.04,5483
Pomona C.,459,50.93,5320
"Southern U. and A&M C., Baton Rouge",460,50.82,5154
"U. Washington, Bothell",461,50.71,5130
Reed C.,462,50.61,5094
Rhode Island School of Design,463,50.5,5074
Coastal Carolina U.,464,50.39,5070
"Trinity C., Hartford",465,50.29,5022
Austin Peay State U.,466,50.18,4993
National U.,467,50.07,4982
Carleton C.,468,49.96,4969
"Toyota Technological Institute, Chicago",469,49.86,4947
Citadel Military C. South Carolina,470,49.75,4928
"St. John's U., New York",471,49.64,4890
Sonoma State U.,472,49.54,4815
Suffolk U.,473,49.43,4808
Franklin and Marshall C.,474,49.32,4730
Claremont Graduate U.,475,49.21,4699
Colgate U.,476,49.11,4691
Seattle U.,477,49.0,4639
U. Wisconsin-Stevens Point,478,48.89,4582
Bentley U.,479,48.79,4550
Fort Lewis C.,480,48.68,4537
U. Detroit Mercy,481,48.57,4525
Spelman C.,482,48.46,4513
Davidson C.,483,48.36,4502
Colby C.,484,48.25,4495
Stephen F. Austin State U.,485,48.14,4416
U. Central Oklahoma,486,48.04,4409
St. Cloud State U.,487,47.93,4340
U. Northern Iowa,488,47.82,4190
Monmouth U.,489,47.71,4163
St. John Fisher U.,490,47.61,4142
Albany State U.,491,47.5,4103
Western Illinois U.,492,47.39,4074
Haverford C.,493,47.29,3993
New Mexico Highlands U.,494,47.18,3972
National Louis U.,495,47.07,3942
Keck Graduate Institute,496,46.96,3916
Fayetteville State U.,497,46.86,3901
East Stroudsburg U. Pennsylvania,498,46.75,3900
Alabama State U.,499,46.64,3891
Harvey Mudd C.,500,46.54,3889
Whitman C.,501,46.43,3876
Des Moines U.,502,46.32,3860
Lake Superior State U.,503,46.21,3796
"California State U., Channel Islands",504,46.11,3791
"U. Nebraska, Kearney",505,46.0,3784
"Purdue U., Fort Wayne ",506,45.89,3780
[3],507,45.79,3776
Hawai'i Pacific U.,508,45.68,3775
Universidad Central del Caribe,509,45.57,3764
"State U. New York, C. Optometry",510,45.46,3731
Vassar C.,511,45.36,3730
Christopher Newport U.,512,45.25,3679
Bowie State U.,513,45.14,3664
U. Wisconsin-Eau Claire,514,45.04,3632
Roger Williams U.,515,44.93,3630
Hamilton C.,516,44.82,3602
"U. Texas, The, Tyler",517,44.71,3580
Murray State U.,518,44.61,3576
"New England C. Optometry, The",519,44.5,3552
U. Incarnate Word,520,44.39,3466
Middlebury C.,521,44.29,3462
Saginaw Valley State U.,522,44.18,3459
Winthrop U.,523,44.07,3443
Tougaloo C.,524,43.96,3425
National Defense U.,525,43.86,3406
U. Wisconsin-Oshkosh,526,43.75,3401
Fisk U.,527,43.64,3348
Bowdoin C.,528,43.54,3318
Azusa Pacific U.,529,43.43,3317
Pace U.,530,43.32,3271
Troy U.,531,43.21,3242
Dillard U.,532,43.11,3235
Northern Kentucky U.,533,43.0,3231
State U. New York at Oswego,534,42.89,3142
"Minnesota State U., Mankato",535,42.79,3090
Furman U.,536,42.68,3080
U. Central Arkansas,537,42.57,3068
Milwaukee School of Engineering,538,42.46,3049
U. Houston-Clear Lake,539,42.36,3033
U. Wisconsin-La Crosse,540,42.25,3001
U. Houston-Downtown,541,42.14,2997
"CUNY, New York City C. Technology",542,42.04,2976
Blackfeet Community C.,543,41.93,2961
Elon U.,544,41.82,2957
